Date,Open,High,Low,Close,Adj Close,Volume
12/22/2010,10348.48047,10394.21973,10327.59961,10346.48047,10346.48047,142100
12/24/2010,10275.96973,10290.88965,10264.05957,10279.19043,10279.19043,86200
12/27/2010,10292.83984,10376.91016,10292.83984,10355.99023,10355.99023,83100
12/28/2010,10330.00977,10340.83984,10292.62988,10292.62988,10292.62988,77900
12/29/2010,10282.83984,10344.54004,10276.61035,10344.54004,10344.54004,87600
12/30/2010,10303.12988,10315.46973,10209.92969,10228.91992,10228.91992,107800
1/4/2011,10352.19043,10409.16992,10321.28027,10398.09961,10398.09961,114100
1/5/2011,10387.9502,10413.4502,10358.00977,10380.76953,10380.76953,114600
1/6/2011,10477.51953,10530.11035,10477.51953,10529.75977,10529.75977,166000
1/7/2011,10506.71973,10550.70996,10503.01953,10541.04004,10541.04004,161800
1/11/2011,10484.62012,10538.38965,10476.29004,10510.67969,10510.67969,138500
1/12/2011,10562.28027,10576.50977,10502.95996,10512.79981,10512.79981,170700
1/13/2011,10593.45996,10620.57031,10565.28027,10589.75977,10589.75977,160900
1/14/2011,10502.76953,10579.96973,10497.25977,10499.04004,10499.04004,170900
1/17/2011,10562.08984,10562.38965,10482.69043,10502.86035,10502.86035,126700
1/18/2011,10461.04004,10548.20996,10456.70996,10518.98047,10518.98047,126400
1/19/2011,10567.87988,10580.67969,10534.01953,10557.09961,10557.09961,138600
1/20/2011,10492.32031,10505.62988,10421.83008,10437.30957,10437.30957,132900
1/21/2011,10459.04004,10461.07031,10257.99023,10274.51953,10274.51953,183900
1/24/2011,10318.59961,10347.94043,10278.80957,10345.11035,10345.11035,134100
1/25/2011,10374.63965,10480.24023,10355.79981,10464.41992,10464.41992,142900
1/26/2011,10410.29004,10440.34961,10392.45996,10401.90039,10401.90039,111000
1/27/2011,10466.33984,10496.40039,10421.75,10478.66016,10478.66016,145300
1/28/2011,10460.29004,10480.08008,10332.65039,10360.33984,10360.33984,150700
1/31/2011,10219.98047,10265.95996,10182.57031,10237.91992,10237.91992,146000
2/1/2011,10281.54981,10299.37988,10245.75,10274.5,10274.5,149000
2/2/2011,10368.48047,10479.75,10366.95996,10457.36035,10457.36035,180500
2/3/2011,10424.67969,10450.45996,10409.83984,10431.36035,10431.36035,150700
2/4/2011,10526.38965,10580.36035,10524.12988,10543.51953,10543.51953,200300
2/7/2011,10641.29981,10644.20996,10572.71973,10592.04004,10592.04004,162300
2/8/2011,10645.03027,10648.79981,10623.7002,10635.98047,10635.98047,150400
2/9/2011,10686.71973,10701.91992,10599.5,10617.83008,10617.83008,165000
2/10/2011,10574.79981,10631.94043,10570.62012,10605.65039,10605.65039,145600
2/14/2011,10689.65039,10725.54004,10674.44043,10725.54004,10725.54004,140600
2/15/2011,10738.80957,10760.99023,10712.49023,10746.66992,10746.66992,142700
2/16/2011,10758.86035,10842.30957,10752.61035,10808.29004,10808.29004,189100
